1711699291.449391	-0.138753 	0.117808 	-0.167760 	-0.073868 	0.382913 	0.920826 	-0.101417 	0.915677 	-0.388908
1711699291.482190	-0.152724 	0.120385 	-0.175858 	-0.070554 	0.374876 	0.924385 	-0.107481 	0.918443 	-0.380669
1711699291.514968	-0.166903 	0.123028 	-0.184143 	-0.065620 	0.364712 	0.928806 	-0.115993 	0.921714 	-0.370122
1711699291.547724	-0.181953 	0.126166 	-0.192889 	-0.066240 	0.355185 	0.932446 	-0.121051 	0.924736 	-0.360847
1711699291.580460	-0.098359 	0.124745 	-0.202309 	-0.032000 	0.362388 	0.931479 	-0.124043 	0.923312 	-0.363472
1711699291.613173	-0.003565 	0.204360 	-0.219235 	0.016961 	0.391046 	0.920214 	-0.123344 	0.914135 	-0.386189
1711699291.645866	0.125988 	0.209532 	-0.202885 	0.041518 	0.379118 	0.924418 	-0.134684 	0.918894 	-0.370804
1711699291.678548	0.124902 	0.176543 	-0.183224 	0.042241 	0.365446 	0.929875 	-0.104361 	0.927228 	-0.359666
1711699291.711895	0.120757 	0.186080 	-0.181618 	0.038866 	0.377082 	0.925363 	-0.108364 	0.922191 	-0.371238
1711699291.745239	0.108523 	0.183551 	-0.197190 	0.028422 	0.391444 	0.919763 	-0.104845 	0.916227 	-0.386699
1711699291.778579	0.094703 	0.186787 	-0.203887 	0.024794 	0.395056 	0.918322 	-0.099484 	0.915020 	-0.390950
1711699291.811916	0.102832 	0.192171 	-0.213194 	0.021074 	0.399544 	0.916472 	-0.108144 	0.912208 	-0.395198
1711699291.845250	0.029382 	0.208754 	-0.168261 	0.041981 	0.434195 	0.899841 	-0.046515 	0.900508 	-0.432347
1711699291.878580	0.034323 	0.217229 	-0.175854 	0.040288 	0.438842 	0.897661 	-0.051475 	0.898109 	-0.436750
1711699291.911907	0.039227 	0.225041 	-0.183141 	0.039181 	0.444133 	0.895104 	-0.054389 	0.895412 	-0.441905
1711699291.945231	0.029003 	0.245315 	-0.137782 	0.050281 	0.473810 	0.879190 	-0.026288 	0.880626 	-0.473081
1711699291.978552	0.037540 	0.255961 	-0.142618 	0.055154 	0.481831 	0.874528 	-0.029475 	0.876265 	-0.480929
1711699292.011869	0.044416 	0.263691 	-0.151629 	0.056186 	0.486410 	0.871923 	-0.029678 	0.873730 	-0.485506
1711699292.045184	0.055488 	0.276640 	-0.157575 	0.051337 	0.485841 	0.872537 	-0.028101 	0.874046 	-0.485028
1711699292.078494	0.060092 	0.284673 	-0.161984 	0.048700 	0.479944 	0.875946 	-0.024835 	0.877297 	-0.479303
1711699292.111803	0.061767 	0.292861 	-0.166885 	0.049098 	0.470685 	0.880934 	-0.022384 	0.882294 	-0.470165
1711699292.145107	0.064461 	0.303372 	-0.173992 	0.051806 	0.465242 	0.883668 	-0.022867 	0.885177 	-0.464695
1711699292.178408	0.067089 	0.314384 	-0.184488 	0.053790 	0.463973 	0.884215 	-0.021880 	0.885832 	-0.463491
1711699292.211706	0.075833 	0.324027 	-0.196208 	0.052537 	0.467842 	0.882249 	-0.018380 	0.883772 	-0.467556
1711699292.245001	0.077464 	0.331786 	-0.207312 	0.053183 	0.474633 	0.878577 	-0.009093 	0.880015 	-0.474859
1711699292.278292	0.085395 	0.341115 	-0.215503 	0.062815 	0.479854 	0.875096 	-0.000398 	0.876840 	-0.480781
1711699292.311581	0.095356 	0.351718 	-0.219654 	0.075814 	0.487013 	0.870098 	0.005923 	0.872374 	-0.488803
